Year,Fips,Data
2009,24017,6.4
2009,24019,15.4
2009,24021,5.7
2009,24023,12.6
2009,24025,6.2
2009,24027,4.5
2009,24029,14.4
2009,24031,6.7
2009,24033,7.8
2009,24035,7.3
2009,24037,8.5
2009,24039,24
2009,24041,8.8
2009,24043,12.4
2009,24045,13.2
2009,24047,12
2009,24510,20.9
2009,25000,10.3
2009,25001,8.1
2009,25003,12.8
2009,25005,11.1
2009,25007,8.2
2009,25009,10.8
2009,25011,12.8
2009,25013,17.2
2009,25015,11.3
2009,25017,7.4
2009,25019,7.1
2009,25021,6.4
2009,25023,7.6
2009,25025,17.3
2009,25027,9.4
2009,26000,16.1
2009,26001,16.3
2009,26003,14.2
2009,26005,11.5
2009,26007,16.6
2009,26009,16.1
2009,26011,17.7
2009,26013,15.6
2009,26015,10.4
2009,26017,12.7
2009,26019,13.3
2009,26021,17.4
2009,26023,17.9
2009,26025,17.4
2009,26027,15.9
2009,26029,13.1
2009,26031,15.5
2009,26033,19
2009,26035,22.1
2009,26037,7.6
2009,26039,19.2
2009,26041,13.3
2009,26043,11.9
2009,26045,10.2
2009,26047,11.5
2009,26049,19.3
2009,26051,19.4
2009,26053,21.7
2009,26055,11
2009,26057,19.5
2009,26059,16.8
2009,26061,20.9
2009,26063,15.4
2009,26065,19.1
2009,26067,15.8
2009,26069,18.6
2009,26071,16.9
2009,26073,26.7
2009,26075,14.3
2009,26077,19.6
2009,26079,16.7
2009,26081,14.5
2009,26083,13.8
2009,26085,23.4
2009,26087,9.4
2009,26089,9.7
2009,26091,13.3
2009,26093,6.6
2009,26095,20.4
2009,26097,13.8
2009,26099,10.9
2009,26101,13.9
2009,26103,14
2009,26105,17.8
2009,26107,20.9
2009,26109,12.9
2009,26111,12.2
2009,26113,15
2009,26115,10.7
2009,26117,19.9
2009,26119,18.6
2009,26121,18.6
2009,26123,18.6
2009,26125,9.7
2009,26127,20.6
2009,26129,18.9
2009,26131,13.5
2009,26133,19.1
2009,26135,20.9
2009,26137,12.5
2009,26139,10.3
2009,26141,14.4
2009,26143,22.6
2009,26145,22.2
2009,26147,13.5
2009,26149,16.9
2009,26151,17.3
2009,26153,16.3
2009,26155,14.4
2009,26157,16.3
2009,26159,16.6
2009,26161,14.2
2009,26163,24.2
2009,26165,17
2009,27000,10.9
2009,27001,15
2009,27003,7.1
2009,27005,13.1
2009,27007,20.9
